Sec,Ticks,msg_type,Channel,Notes,Velocities,Pedal,Tempo
31.40625,0,"['note_off', 'note_on']",3,"[69, 71]","[65, 64]",,64.0
31.41796875,0,"['note_off', 'note_on']",3,"[59, 57]","[51, 64]",,64.0
31.65234375,0,"['note_off', 'note_on']",1,"[57, 55]","[65, 64]",,64.0
31.875,0,"['note_off', 'note_on']",1,"[71, 72]","[69, 64]",,64.0
31.88671875,0,"['note_off', 'note_off', 'note_on']",0,"[62, 55, 60]","[61, 72, 64]",,64.0
31.8984375,0,"['note_off', 'note_on']",1,"[77, 76]","[51, 64]",,64.0
32.12109375,0.22265625,['note_on'],1,[59],[64],,64.0
32.35546875,0,"['note_off', 'note_on', 'note_off']",1,"[59, 60, 60]","[52, 64, 74]",,64.0
32.5390625,0.18359375,['note_off'],1,[72],[80],,64.0
32.58984375,0,"['note_on', 'note_off', 'note_on']",0,"[74, 60, 57]","[64, 55, 64]",,64.0
32.6015625,0,"['note_off', 'note_on']",1,"[76, 78]","[52, 64]",,64.0
32.70703125,0.10546875,['note_off'],1,[74],[64],,64.0
32.71484375,0.0078125,['note_on'],1,[72],[64],,64.0
32.82421875,0,"['note_on', 'note_off', 'note_on']",1,"[71, 57, 64]","[64, 51, 64]",,64.0
32.83203125,0.0078125,['note_off'],0,[72],[64],,64.0
32.8359375,0,"['note_off', 'note_on']",1,"[78, 79]","[62, 64]",,64.0
33.05859375,0,"['note_off', 'note_on']",1,"[64, 62]","[49, 64]",,64.0
33.29296875,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[71, 76, 62, 60]","[29, 64, 48, 64]",,64.0
33.52734375,0,"['note_off', 'note_on']",1,"[60, 59]","[68, 64]",,64.0
33.76171875,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[76, 69, 59, 60]","[34, 64, 65, 64]",,64.0
33.99609375,0,"['note_off', 'note_on']",1,"[60, 57]","[65, 64]",,64.0
34.23046875,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[69, 74, 57, 59]","[57, 64, 51, 64]",,64.0
34.46484375,0,"['note_off', 'note_on']",1,"[59, 60]","[57, 64]",,64.0
34.69921875,0,"['note_off', 'note_on']",0,"[60, 62]","[69, 64]",,64.0
34.7109375,0,"['note_off', 'note_on']",1,"[79, 78]","[55, 64]",,64.0
34.87109375,0.16015625,['note_off'],1,[74],[69],,64.0
34.93359375,0,"['note_on', 'note_off', 'note_on']",1,"[76, 62, 60]","[64, 49, 64]",,64.0
35.16796875,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[76, 74, 60, 59]","[51, 64, 58, 64]",,64.0
35.40234375,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[74, 72, 59, 57]","[68, 64, 69, 64]",,64.0
35.63671875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[72, 71, 57, 55]","[73, 64, 58, 64]",,64.0
