sec,tick,bpm,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan,tempo
0.359,345,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.36,346,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.361,347,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.362,348,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.363,349,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.364,350,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.365,351,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.366,352,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.367,353,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.368,354,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.369,355,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.37,356,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.371,357,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.372,358,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.373,359,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.375,360,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.376,361,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.377,362,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.378,363,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.379,364,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.38,365,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.381,366,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.382,367,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.383,368,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
